dialect,dimension,stereotype_direction,total_items,average_score_difference,median_score_difference,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent
Egyptian,occupation,female_stereotype,3,-1.7840878168741863,-1.989595413208008,0,3,0,0.0,100.0
Egyptian,occupation,male_stereotype,6,-1.0825929641723633,-0.6572580337524414,0,6,0,0.0,100.0
Egyptian,occupation,neutral,3,-1.1205307642618816,-0.9012718200683594,0,3,0,0.0,100.0
Egyptian,trait,female_stereotype,3,-0.7785391807556152,0.3811368942260742,2,1,0,66.66666666666666,33.33333333333333
Egyptian,trait,male_stereotype,5,-0.03781280517578123,-0.1476116180419922,1,4,0,20.0,80.0
Egyptian,trait,neutral,3,-1.109253247578939,-1.3607711791992188,1,2,0,33.33333333333333,66.66666666666666
MSA,occupation,female_stereotype,3,0.04983107248942057,0.1737060546875,2,1,0,66.66666666666666,33.33333333333333
MSA,occupation,male_stereotype,9,0.9257002936469184,1.2075233459472656,7,2,0,77.77777777777779,22.22222222222222
MSA,occupation,neutral,5,0.710346794128418,0.3787178993225097,5,0,0,100.0,0.0
MSA,trait,female_stereotype,3,-0.09382915496826172,0.6191844940185547,2,1,0,66.66666666666666,33.33333333333333
MSA,trait,male_stereotype,5,-0.04947671890258789,0.1125569343566894,3,2,0,60.0,40.0
MSA,trait,neutral,2,-0.5971839427947998,-0.5971839427947998,1,1,0,50.0,50.0
