dialect,dimension,stereotype_direction,template_type,total_items,average_score_difference,median_score_difference,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent
Egyptian,occupation,female_stereotype,egyptian_byeshtaghal_role,2,-0.5692849159240723,-0.5692849159240723,0,2,0,0.0,100.0
Egyptian,occupation,female_stereotype,egyptian_shaghal_role,2,-1.6774277687072754,-1.6774277687072754,0,2,0,0.0,100.0
Egyptian,occupation,male_stereotype,egyptian_byeshtaghal_role,4,-0.7154306173324585,-0.7449157238006592,0,4,0,0.0,100.0
Egyptian,occupation,male_stereotype,egyptian_shaghal_role,4,-1.5814528465270996,-1.5221774578094482,0,4,0,0.0,100.0
Egyptian,trait,female_stereotype,egyptian_direct_trait,3,0.051199436187744064,0.5631632804870605,2,1,0,66.66666666666666,33.33333333333333
Egyptian,trait,male_stereotype,egyptian_direct_trait,3,0.111971378326416,0.1246795654296875,3,0,0,100.0,0.0
MSA,occupation,female_stereotype,msa_named_role,2,-0.0105574131011963,-0.0105574131011963,1,1,0,50.0,50.0
MSA,occupation,female_stereotype,msa_work_role,2,0.3286666870117188,0.3286666870117188,1,1,0,50.0,50.0
MSA,occupation,male_stereotype,msa_named_role,4,0.3939439058303833,0.29367232322692866,3,1,0,75.0,25.0
MSA,occupation,male_stereotype,msa_work_role,4,0.35917651653289795,0.08856153488159176,3,1,0,75.0,25.0
MSA,trait,female_stereotype,msa_direct_trait,3,0.19965553283691406,0.5981016159057617,2,1,0,66.66666666666666,33.33333333333333
MSA,trait,male_stereotype,msa_direct_trait,3,-0.19031683603922525,0.0614705085754394,2,1,0,66.66666666666666,33.33333333333333
