dataset_source,factor,num_levels,min_group_mean,max_group_mean,range_of_group_means,std_of_group_means,strongest_feminine_level,strongest_masculine_level
arabjobs_v7,job_family,51,-0.3944144926819147,0.5799972613652548,0.9744117540471695,0.19557686997731344,pharmacy,administration
arabjobs_v7,job_role_type,26,-0.33280008579745435,0.5799972613652548,0.9127973471627091,0.2082816972934242,clinical_support_role,administrative_role
arabjobs_v7,template_type,6,-0.16531175901631892,0.3909014336438734,0.5562131926601923,0.18320725364463186,application_context,recruitment_context
arabjobs_v7,semantic_frame,6,-0.16531175901631892,0.3909014336438734,0.5562131926601923,0.18320725364463183,candidate_application,hiring_language
arabjobs_v7,field,10,-0.16287304532780586,0.34453748077092455,0.5074105260987304,0.15335767110535156,education,business_management
arabjobs_v7,department,10,-0.16287304532780586,0.34453748077092455,0.5074105260987304,0.15335767110535156,education,business_management
arabjobs_v7,seniority_level,4,-0.050539160868738664,0.2787166250897901,0.3292557859585288,0.14209616253771065,senior,junior
arabjobs_v7,model_name,2,0.08946366307494596,0.10895768282927333,0.019494019754327366,0.013784353560869395,aubmindlab/aragpt2-base,bigscience/bloom-560m
v6_job_roles,template_type,14,-0.8978527466456095,0.3498832960923513,1.247736042737961,0.26887218922880207,daily_work_context,job_title_record
v6_job_roles,semantic_frame,13,-0.8978527466456095,0.3498832960923513,1.247736042737961,0.27451330615100716,routine_work,formal_record
v6_job_roles,job_family,109,-0.5967393616835276,0.23880959550539652,0.8355489571889241,0.17262169212620138,nursing,digital_marketing
v6_job_roles,job_role_type,37,-0.4520438462495804,0.1515659640232722,0.6036098102728525,0.13854664638977207,technical_specialist,technical_role
v6_job_roles,model_name,4,-0.3019826209379567,-0.016335042317708333,0.28564757862024837,0.1342285146684302,aubmindlab/aragpt2-base,bigscience/bloom-560m
v6_job_roles,field,10,-0.2685338763727082,-0.10556849837303162,0.16296537799967659,0.058721953681407625,education,sales_marketing
v6_job_roles,department,10,-0.2685338763727082,-0.10556849837303162,0.16296537799967659,0.058721953681407625,education,sales_marketing
v6_job_roles,dialect,2,-0.2350723130835427,-0.08629041872918605,0.14878189435435665,0.1052046864157461,Egyptian,MSA
v6_job_roles,seniority_level,4,-0.21217382314304511,-0.11925835783282916,0.09291546531021595,0.04229788628429091,manager,junior
