dataset_source,model_name,department,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
arabjobs_v7,aubmindlab/aragpt2-base,business_management,966,738,228,0,76.397516,23.602484,0.0,0.26313600579650753,0.287971019744873,0.3716544764545782
arabjobs_v7,aubmindlab/aragpt2-base,education,2076,1580,496,0,76.1079,23.8921,0.0,-0.0038756065515654337,0.0525455474853515,0.23179923463917865
arabjobs_v7,aubmindlab/aragpt2-base,engineering_manufacturing,1356,683,673,0,50.368732,49.631268,0.0,0.074567297215307,0.0039730072021484,0.4983693637684514
arabjobs_v7,aubmindlab/aragpt2-base,finance_accounting,3474,2025,1449,0,58.290155,41.709845,0.0,0.07134880138390629,0.1129736900329589,0.2967317599648018
arabjobs_v7,aubmindlab/aragpt2-base,healthcare,834,475,359,0,56.954436,43.045564,0.0,0.03550993681525727,0.1554141044616699,0.4811300503827262
arabjobs_v7,aubmindlab/aragpt2-base,human_resources,258,213,45,0,82.55814,17.44186,0.0,0.3856725655784903,0.3931484222412109,0.4838970853707218
arabjobs_v7,aubmindlab/aragpt2-base,legal_government,138,119,19,0,86.231884,13.768116,0.0,0.26766633641892584,0.3167200088500976,0.374830222566156
arabjobs_v7,aubmindlab/aragpt2-base,media_creative,798,721,77,0,90.350877,9.649123,0.0,0.3882691322412706,0.408113956451416,0.3435648627324569
arabjobs_v7,aubmindlab/aragpt2-base,sales_marketing,4590,1825,2765,0,39.760349,60.239651,0.0,0.048754545286589984,-0.0365376472473144,0.3600095414696259
arabjobs_v7,aubmindlab/aragpt2-base,technology_it,42,25,17,0,59.52381,40.47619,0.0,0.12582010314578101,0.0596699714660644,0.36760331948718067
arabjobs_v7,bigscience/bloom-560m,business_management,966,764,195,7,79.089027,20.186335,0.724638,0.42593895574534163,0.43359375,0.552518586575491
arabjobs_v7,bigscience/bloom-560m,education,2076,111,1965,0,5.346821,94.653179,0.0,-0.32187048410404623,-0.2734375,0.20853079132188923
arabjobs_v7,bigscience/bloom-560m,engineering_manufacturing,1356,697,597,62,51.40118,44.026549,4.572271,0.11722927037241888,0.029296875,0.3629620535518478
arabjobs_v7,bigscience/bloom-560m,finance_accounting,3474,2060,1414,0,59.29764,40.70236,0.0,0.11412681706966034,0.01953125,0.2368255671115712
arabjobs_v7,bigscience/bloom-560m,healthcare,834,187,647,0,22.422062,77.577938,0.0,-0.24675650104916066,-0.21875,0.3173994681486557
