dataset_source,model_name,dialect,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
arabjobs_v7,aubmindlab/aragpt2-base,Mixed_Arabic,14532,8404,6128,0,57.830994,42.169006,0.0,0.08946366307494596,0.0525455474853515,0.3719931119125178
arabjobs_v7,bigscience/bloom-560m,Mixed_Arabic,14532,8463,5994,75,58.236994,41.246903,0.516102,0.10895768282927333,0.0859375,0.3740784011439636
v6_job_roles,aubmindlab/aragpt2-base,Egyptian,1440,339,1101,0,23.541667,76.458333,0.0,-0.5124134868383408,-0.4223499298095703,0.7235780474690258
v6_job_roles,aubmindlab/aragpt2-base,MSA,1440,631,809,0,43.819444,56.180556,0.0,-0.09155175503757265,-0.062212944030761705,0.4880786522045736
v6_job_roles,aubmindlab/aragpt2-medium,Egyptian,1440,485,955,0,33.680556,66.319444,0.0,-0.4175269156694412,-0.29665160179138184,1.049294414704554
v6_job_roles,aubmindlab/aragpt2-medium,MSA,1440,651,789,0,45.208333,54.791667,0.0,-0.0696404645840327,-0.09048151969909665,0.5994470854604129
v6_job_roles,bigscience/bloom-1b1,Egyptian,1440,684,753,3,47.5,52.291667,0.208333,-0.08286268446180556,-0.0498046875,0.5830615425980678
v6_job_roles,bigscience/bloom-1b1,MSA,1440,644,794,2,44.722222,55.138889,0.138889,-0.07878553602430556,-0.0634765625,0.40670770094448094
v6_job_roles,bigscience/bloom-560m,Egyptian,1440,895,544,1,62.152778,37.777778,0.069444,0.07251383463541666,0.1640625,0.5757798254620706
v6_job_roles,bigscience/bloom-560m,MSA,1440,605,831,4,42.013889,57.708333,0.277778,-0.10518391927083333,-0.10546875,0.4234141915130938
