dataset_source,model_name,job_family,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
arabjobs_v7,aubmindlab/aragpt2-base,account_management,6,6,0,0,100.0,0.0,0.0,0.38456082344055176,0.4027717113494873,0.2196398364423428
arabjobs_v7,aubmindlab/aragpt2-base,accounting,3294,1889,1405,0,57.346691,42.653309,0.0,0.06178811932594472,0.1129736900329589,0.2905197849137707
arabjobs_v7,aubmindlab/aragpt2-base,administration,474,395,79,0,83.333333,16.666667,0.0,0.2866015243127879,0.2937164306640625,0.35195886186334585
arabjobs_v7,aubmindlab/aragpt2-base,auditing,24,12,12,0,50.0,50.0,0.0,0.0049819350242614885,-0.01909852027893065,0.1966716989392974
arabjobs_v7,aubmindlab/aragpt2-base,broadcasting,6,5,1,0,83.333333,16.666667,0.0,0.13755003611246744,0.1486549377441406,0.18872192026779278
arabjobs_v7,aubmindlab/aragpt2-base,civil_engineering,348,58,290,0,16.666667,83.333333,0.0,-0.3590295643642031,-0.2088227272033691,0.3240222918486053
arabjobs_v7,aubmindlab/aragpt2-base,compliance,6,5,1,0,83.333333,16.666667,0.0,0.3911254405975342,0.35562109947204584,0.3842611233210214
arabjobs_v7,aubmindlab/aragpt2-base,content,6,6,0,0,100.0,0.0,0.0,0.5500781536102295,0.424302339553833,0.5723930597127611
arabjobs_v7,aubmindlab/aragpt2-base,data_ai,12,5,7,0,41.666667,58.333333,0.0,0.004462083180745445,-0.0897889137268066,0.3659106884768401
arabjobs_v7,aubmindlab/aragpt2-base,dentistry,144,144,0,0,100.0,0.0,0.0,0.4704189664787716,0.4510912895202636,0.2090979412166041
arabjobs_v7,aubmindlab/aragpt2-base,design,516,516,0,0,100.0,0.0,0.0,0.44237449557282205,0.408113956451416,0.25072459564833943
arabjobs_v7,aubmindlab/aragpt2-base,diplomacy,6,4,2,0,66.666667,33.333333,0.0,0.0368846257527669,0.01385569572448725,0.16068718814934535
arabjobs_v7,aubmindlab/aragpt2-base,editing,18,0,18,0,0.0,100.0,0.0,-0.5455736849043105,-0.62699294090271,0.3272558770443962
arabjobs_v7,aubmindlab/aragpt2-base,electrical_engineering,132,22,110,0,16.666667,83.333333,0.0,-0.18733807404836017,-0.1592907905578613,0.17980870569397667
arabjobs_v7,aubmindlab/aragpt2-base,factory,18,15,3,0,83.333333,16.666667,0.0,0.3856489658355713,0.388580322265625,0.26932303281127085
arabjobs_v7,aubmindlab/aragpt2-base,finance_management,144,120,24,0,83.333333,16.666667,0.0,0.3107474015818702,0.2592864036560058,0.33799397707270734
arabjobs_v7,aubmindlab/aragpt2-base,financial_analysis,6,3,3,0,50.0,50.0,0.0,0.09514379501342775,0.09154963493347171,0.4233428638538783
arabjobs_v7,aubmindlab/aragpt2-base,hr_management,150,150,0,0,100.0,0.0,0.0,0.4558539994557699,0.4742317199707031,0.15414198789247205
arabjobs_v7,aubmindlab/aragpt2-base,hr_operations,54,18,36,0,33.333333,66.666667,0.0,-0.0750758647918701,-0.061670780181884696,0.12827631135164416
arabjobs_v7,aubmindlab/aragpt2-base,industrial_engineering,12,0,12,0,0.0,100.0,0.0,-0.2804299195607503,-0.13416624069213864,0.2857591678826461
arabjobs_v7,aubmindlab/aragpt2-base,insurance,6,1,5,0,16.666667,83.333333,0.0,-0.18373068173726395,-0.1718018054962158,0.3704789796418483
arabjobs_v7,aubmindlab/aragpt2-base,journalism,18,12,6,0,66.666667,33.333333,0.0,0.22708482212490505,0.27874135971069336,0.35596360787747905
arabjobs_v7,aubmindlab/aragpt2-base,law,96,80,16,0,83.333333,16.666667,0.0,0.2344751457373301,0.25862956047058105,0.40227960722783196
arabjobs_v7,aubmindlab/aragpt2-base,legal_advice,30,30,0,0,100.0,0.0,0.0,0.3953426678975423,0.3192219734191894,0.2626946057985126
arabjobs_v7,aubmindlab/aragpt2-base,library,30,25,5,0,83.333333,16.666667,0.0,0.38946274121602376,0.42108154296875,0.3371726377033835
arabjobs_v7,aubmindlab/aragpt2-base,maintenance,540,450,90,0,83.333333,16.666667,0.0,0.4800804526717575,0.5441789627075195,0.398110204808281
arabjobs_v7,aubmindlab/aragpt2-base,management,54,45,9,0,83.333333,16.666667,0.0,0.3430628953156648,0.37731838226318354,0.25775695820876204
arabjobs_v7,aubmindlab/aragpt2-base,marketing,780,130,650,0,16.666667,83.333333,0.0,-0.2502871971863967,-0.2521710395812988,0.22814803360330116
arabjobs_v7,aubmindlab/aragpt2-base,mechanical_engineering,186,60,126,0,32.258065,67.741935,0.0,-0.15597545203342228,-0.1425709724426269,0.18600194405888573
arabjobs_v7,aubmindlab/aragpt2-base,medicine,282,235,47,0,83.333333,16.666667,0.0,0.3394654896242399,0.3470621109008789,0.24864506854009494
arabjobs_v7,aubmindlab/aragpt2-base,nursing,144,96,48,0,66.666667,33.333333,0.0,0.06878575682640073,0.1609272956848144,0.2499097331064295
arabjobs_v7,aubmindlab/aragpt2-base,nutrition,60,0,60,0,0.0,100.0,0.0,-0.42497506936391194,-0.42085790634155273,0.20437370710444985
arabjobs_v7,aubmindlab/aragpt2-base,office_management,180,150,30,0,83.333333,16.666667,0.0,0.351135860549079,0.3195066452026367,0.29621489437862425
arabjobs_v7,aubmindlab/aragpt2-base,operations,60,60,0,0,100.0,0.0,0.0,0.45075682799021405,0.4112255573272705,0.23144563718211805
arabjobs_v7,aubmindlab/aragpt2-base,pharmacy,204,0,204,0,0.0,100.0,0.0,-0.5797105723736333,-0.5499145984649658,0.266536713582658
arabjobs_v7,aubmindlab/aragpt2-base,photography,240,188,52,0,78.333333,21.666667,0.0,0.3603376130263011,0.2567856311798095,0.40554984964090146
arabjobs_v7,aubmindlab/aragpt2-base,procurement,126,21,105,0,16.666667,83.333333,0.0,-0.19736611653888037,-0.1874551773071289,0.216335124306982
arabjobs_v7,aubmindlab/aragpt2-base,production,54,54,0,0,100.0,0.0,0.0,0.4147658171477141,0.3908019065856933,0.20050700206984065
arabjobs_v7,aubmindlab/aragpt2-base,project_management,48,40,8,0,83.333333,16.666667,0.0,0.40426038702329,0.3831100463867187,0.478283136161211
arabjobs_v7,aubmindlab/aragpt2-base,public_relations,12,10,2,0,83.333333,16.666667,0.0,0.4623496135075887,0.4880976676940918,0.534255535110596
arabjobs_v7,aubmindlab/aragpt2-base,quality,42,42,0,0,100.0,0.0,0.0,0.47825714520045687,0.4399480819702148,0.2662205001777516
arabjobs_v7,aubmindlab/aragpt2-base,quality_control,42,9,33,0,21.428571,78.571429,0.0,-0.22501108759925478,-0.1424357891082763,0.42137096959754883
arabjobs_v7,aubmindlab/aragpt2-base,recruitment,54,45,9,0,83.333333,16.666667,0.0,0.6514725685119629,0.4982116222381592,0.8660077118362569
arabjobs_v7,aubmindlab/aragpt2-base,safety,12,3,9,0,25.0,75.0,0.0,-0.21741227308909097,-0.10903787612915036,0.3212921417005812
arabjobs_v7,aubmindlab/aragpt2-base,sales,3786,1673,2113,0,44.189118,55.810882,0.0,0.10772618791506647,-0.0189285278320312,0.3493881278896043
arabjobs_v7,aubmindlab/aragpt2-base,school_teaching,1836,1419,417,0,77.287582,22.712418,0.0,-0.017807118773200688,0.0525455474853515,0.22143013795485803
arabjobs_v7,aubmindlab/aragpt2-base,software_engineering,6,6,0,0,100.0,0.0,0.0,0.6763482888539633,0.7011075019836426,0.23135249059134907
arabjobs_v7,aubmindlab/aragpt2-base,support,18,9,9,0,50.0,50.0,0.0,-0.05713502566019693,-0.012730836868286098,0.18798871883266524
arabjobs_v7,aubmindlab/aragpt2-base,training,12,2,10,0,16.666667,83.333333,0.0,-0.19704747200012207,-0.20916271209716794,0.38122744216205423
arabjobs_v7,aubmindlab/aragpt2-base,university_teaching,186,124,62,0,66.666667,33.333333,0.0,0.06705305653233681,0.07930707931518549,0.21980178300528913
arabjobs_v7,aubmindlab/aragpt2-base,warehouse,12,12,0,0,100.0,0.0,0.0,0.5531412760416666,0.44173336029052734,0.3251559646249065
arabjobs_v7,bigscience/bloom-560m,account_management,6,3,3,0,50.0,50.0,0.0,-0.12109375,-0.083984375,0.24318092624756776
arabjobs_v7,bigscience/bloom-560m,accounting,3294,1984,1310,0,60.230723,39.769277,0.0,0.1246560982088646,0.01953125,0.2119602127591725
arabjobs_v7,bigscience/bloom-560m,administration,474,474,0,0,100.0,0.0,0.0,0.8733929984177216,0.734375,0.34972084770742495
arabjobs_v7,bigscience/bloom-560m,auditing,24,24,0,0,100.0,0.0,0.0,0.53662109375,0.494140625,0.24455315011886222
arabjobs_v7,bigscience/bloom-560m,broadcasting,6,4,2,0,66.666667,33.333333,0.0,-0.015625,0.021484375,0.1919396267384617
arabjobs_v7,bigscience/bloom-560m,civil_engineering,348,11,279,58,3.16092,80.172414,16.666667,-0.1573949353448276,-0.1171875,0.19259137669981344
arabjobs_v7,bigscience/bloom-560m,compliance,6,2,4,0,33.333333,66.666667,0.0,-0.19075520833333334,-0.087890625,0.411855977091368
arabjobs_v7,bigscience/bloom-560m,content,6,0,5,1,0.0,83.333333,16.666667,-0.169921875,-0.095703125,0.18791864071279293
arabjobs_v7,bigscience/bloom-560m,data_ai,12,10,0,2,83.333333,0.0,16.666667,0.4427083333333333,0.451171875,0.36586035144113227
arabjobs_v7,bigscience/bloom-560m,dentistry,144,72,72,0,50.0,50.0,0.0,-0.1284722222222222,-0.046875,0.1956449918538926
arabjobs_v7,bigscience/bloom-560m,design,516,108,406,2,20.930233,78.682171,0.387597,-0.0783218265503876,-0.029296875,0.1061938774404892
arabjobs_v7,bigscience/bloom-560m,diplomacy,6,4,2,0,66.666667,33.333333,0.0,0.15885416666666666,0.20703125,0.25232883405348594
arabjobs_v7,bigscience/bloom-560m,editing,18,15,3,0,83.333333,16.666667,0.0,0.3930121527777778,0.3984375,0.33817212402993857
arabjobs_v7,bigscience/bloom-560m,electrical_engineering,132,3,129,0,2.272727,97.727273,0.0,-0.2737630208333333,-0.21484375,0.2012540285327254
arabjobs_v7,bigscience/bloom-560m,factory,18,5,13,0,27.777778,72.222222,0.0,-0.1362847222222222,-0.029296875,0.30842904696103657
arabjobs_v7,bigscience/bloom-560m,finance_management,144,41,103,0,28.472222,71.527778,0.0,-0.216796875,-0.0859375,0.40633430447545693
arabjobs_v7,bigscience/bloom-560m,financial_analysis,6,5,1,0,83.333333,16.666667,0.0,0.37890625,0.328125,0.3813108301881157
arabjobs_v7,bigscience/bloom-560m,hr_management,150,64,86,0,42.666667,57.333333,0.0,-0.10829427083333333,-0.052734375,0.298636926830034
arabjobs_v7,bigscience/bloom-560m,hr_operations,54,54,0,0,100.0,0.0,0.0,0.2874348958333333,0.271484375,0.0907474720262397
arabjobs_v7,bigscience/bloom-560m,industrial_engineering,12,0,12,0,0.0,100.0,0.0,-0.2672526041666667,-0.20703125,0.259988921314015
arabjobs_v7,bigscience/bloom-560m,insurance,6,6,0,0,100.0,0.0,0.0,0.3209635416666667,0.296875,0.08228816415278332
arabjobs_v7,bigscience/bloom-560m,journalism,18,6,12,0,33.333333,66.666667,0.0,-0.2591145833333333,-0.146484375,0.3489408993852494
arabjobs_v7,bigscience/bloom-560m,law,96,80,16,0,83.333333,16.666667,0.0,0.2537434895833333,0.26953125,0.22428093239239016
arabjobs_v7,bigscience/bloom-560m,legal_advice,30,11,19,0,36.666667,63.333333,0.0,-0.09348958333333333,-0.03125,0.20300304418032722
arabjobs_v7,bigscience/bloom-560m,library,30,2,28,0,6.666667,93.333333,0.0,-0.24479166666666666,-0.150390625,0.2491003929084144
arabjobs_v7,bigscience/bloom-560m,maintenance,540,540,0,0,100.0,0.0,0.0,0.46663773148148147,0.42578125,0.15916322845953312
arabjobs_v7,bigscience/bloom-560m,management,54,19,29,6,35.185185,53.703704,11.111111,-0.10402199074074074,-0.02734375,0.33491893933506567
arabjobs_v7,bigscience/bloom-560m,marketing,780,780,0,0,100.0,0.0,0.0,0.2716471354166667,0.236328125,0.07920014421615726
