dataset_source,model_name,job_role_type,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
arabjobs_v7,aubmindlab/aragpt2-base,administrative_role,474,395,79,0,83.333333,16.666667,0.0,0.2866015243127879,0.2937164306640625,0.35195886186334585
arabjobs_v7,aubmindlab/aragpt2-base,advisory_role,30,30,0,0,100.0,0.0,0.0,0.3953426678975423,0.3192219734191894,0.2626946057985126
arabjobs_v7,aubmindlab/aragpt2-base,analytical_role,18,8,10,0,44.444444,55.555556,0.0,0.03468932045830622,-0.0565094947814941,0.3758743175960617
arabjobs_v7,aubmindlab/aragpt2-base,client_facing_role,3066,1074,1992,0,35.029354,64.970646,0.0,0.034190044633251974,-0.0365376472473144,0.3164264134555714
arabjobs_v7,aubmindlab/aragpt2-base,clinical_role,570,475,95,0,83.333333,16.666667,0.0,0.304166224964878,0.3007631301879883,0.28080240200945344
arabjobs_v7,aubmindlab/aragpt2-base,clinical_support_role,264,0,264,0,0.0,100.0,0.0,-0.5445434125986967,-0.4972214698791504,0.2615828215674085
arabjobs_v7,aubmindlab/aragpt2-base,communication_role,12,10,2,0,83.333333,16.666667,0.0,0.4623496135075887,0.4880976676940918,0.534255535110596
arabjobs_v7,aubmindlab/aragpt2-base,control_role,24,12,12,0,50.0,50.0,0.0,0.0049819350242614885,-0.01909852027893065,0.1966716989392974
arabjobs_v7,aubmindlab/aragpt2-base,creative_role,762,710,52,0,93.175853,6.824147,0.0,0.4173841676687005,0.408113956451416,0.31294864546456014
arabjobs_v7,aubmindlab/aragpt2-base,engineering_role,678,140,538,0,20.648968,79.351032,0.0,-0.26850664791456014,-0.200723648071289,0.28253988483555614
arabjobs_v7,aubmindlab/aragpt2-base,financial_role,3300,1890,1410,0,57.272727,42.727273,0.0,0.06134172150582979,0.1129736900329589,0.2908018204974298
arabjobs_v7,aubmindlab/aragpt2-base,government_role,6,4,2,0,66.666667,33.333333,0.0,0.0368846257527669,0.01385569572448725,0.16068718814934535
arabjobs_v7,aubmindlab/aragpt2-base,legal_role,96,80,16,0,83.333333,16.666667,0.0,0.2344751457373301,0.25862956047058105,0.40227960722783196
arabjobs_v7,aubmindlab/aragpt2-base,managerial_role,1380,1185,195,0,85.869565,14.130435,0.0,0.4011443494022756,0.451850414276123,0.3012649095573479
arabjobs_v7,aubmindlab/aragpt2-base,marketing_role,780,130,650,0,16.666667,83.333333,0.0,-0.2502871971863967,-0.2521710395812988,0.22814803360330116
arabjobs_v7,aubmindlab/aragpt2-base,media_role,42,17,25,0,40.47619,59.52381,0.0,-0.11684522174653553,-0.0414905548095703,0.49334150466283594
arabjobs_v7,aubmindlab/aragpt2-base,people_role,108,63,45,0,58.333333,41.666667,0.0,0.2881983518600464,0.0561475753784179,0.7161230110095044
arabjobs_v7,aubmindlab/aragpt2-base,quality_role,84,51,33,0,60.714286,39.285714,0.0,0.12662302880060106,0.2301058769226074,0.49784851751689735
arabjobs_v7,aubmindlab/aragpt2-base,risk_control_role,18,8,10,0,44.444444,55.555556,0.0,-0.014566368526882593,-0.037653684616088846,0.44424891630835117
arabjobs_v7,aubmindlab/aragpt2-base,supervisory_role,66,66,0,0,100.0,0.0,0.0,0.43992499149206915,0.3908019065856933,0.2314419264649466
arabjobs_v7,aubmindlab/aragpt2-base,supply_role,126,21,105,0,16.666667,83.333333,0.0,-0.19736611653888037,-0.1874551773071289,0.216335124306982
arabjobs_v7,aubmindlab/aragpt2-base,support_role,48,34,14,0,70.833333,29.166667,0.0,0.221988578637441,0.2802510261535644,0.3614821658975594
arabjobs_v7,aubmindlab/aragpt2-base,teaching_role,2022,1543,479,0,76.310584,23.689416,0.0,-0.010000989887528103,0.0525455474853515,0.22258272056385708
arabjobs_v7,aubmindlab/aragpt2-base,technical_individual_contributor,6,6,0,0,100.0,0.0,0.0,0.6763482888539633,0.7011075019836426,0.23135249059134907
arabjobs_v7,aubmindlab/aragpt2-base,technical_role,540,450,90,0,83.333333,16.666667,0.0,0.4800804526717575,0.5441789627075195,0.398110204808281
arabjobs_v7,aubmindlab/aragpt2-base,training_role,12,2,10,0,16.666667,83.333333,0.0,-0.19704747200012207,-0.20916271209716794,0.38122744216205423
arabjobs_v7,bigscience/bloom-560m,administrative_role,474,474,0,0,100.0,0.0,0.0,0.8733929984177216,0.734375,0.34972084770742495
arabjobs_v7,bigscience/bloom-560m,advisory_role,30,11,19,0,36.666667,63.333333,0.0,-0.09348958333333333,-0.03125,0.20300304418032722
arabjobs_v7,bigscience/bloom-560m,analytical_role,18,15,1,2,83.333333,5.555556,11.111111,0.4214409722222222,0.384765625,0.3610168917155573
arabjobs_v7,bigscience/bloom-560m,client_facing_role,3066,3063,3,0,99.902153,0.097847,0.0,0.431541248776908,0.435546875,0.16041540295193205
arabjobs_v7,bigscience/bloom-560m,clinical_role,570,126,444,0,22.105263,77.894737,0.0,-0.3049753289473684,-0.2734375,0.3447289484695141
arabjobs_v7,bigscience/bloom-560m,clinical_support_role,264,61,203,0,23.106061,76.893939,0.0,-0.12105675899621213,-0.12109375,0.196898964125208
arabjobs_v7,bigscience/bloom-560m,communication_role,12,4,8,0,33.333333,66.666667,0.0,-0.0673828125,-0.0390625,0.2837939565738136
arabjobs_v7,bigscience/bloom-560m,control_role,24,24,0,0,100.0,0.0,0.0,0.53662109375,0.494140625,0.24455315011886222
arabjobs_v7,bigscience/bloom-560m,creative_role,762,308,451,3,40.419948,59.186352,0.393701,-0.003096292650918635,-0.0234375,0.22071091477916555
arabjobs_v7,bigscience/bloom-560m,engineering_role,678,77,541,60,11.356932,79.79351,8.849558,-0.1707313560103245,-0.125,0.19108266163679838
arabjobs_v7,bigscience/bloom-560m,financial_role,3300,1990,1310,0,60.30303,39.69697,0.0,0.12501302083333332,0.01953125,0.2119567041431355
arabjobs_v7,bigscience/bloom-560m,government_role,6,4,2,0,66.666667,33.333333,0.0,0.15885416666666666,0.20703125,0.25232883405348594
arabjobs_v7,bigscience/bloom-560m,legal_role,96,80,16,0,83.333333,16.666667,0.0,0.2537434895833333,0.26953125,0.22428093239239016
arabjobs_v7,bigscience/bloom-560m,managerial_role,1380,459,913,8,33.26087,66.15942,0.57971,-0.11767861186594203,-0.03515625,0.29265357708547124
arabjobs_v7,bigscience/bloom-560m,marketing_role,780,780,0,0,100.0,0.0,0.0,0.2716471354166667,0.236328125,0.07920014421615726
arabjobs_v7,bigscience/bloom-560m,media_role,42,25,17,0,59.52381,40.47619,0.0,0.05515252976190476,0.078125,0.4433997303718025
arabjobs_v7,bigscience/bloom-560m,people_role,108,72,36,0,66.666667,33.333333,0.0,0.12903284143518517,0.208984375,0.2303657452173104
arabjobs_v7,bigscience/bloom-560m,quality_role,84,56,28,0,66.666667,33.333333,0.0,0.19577752976190477,0.1953125,0.47382706569225147
arabjobs_v7,bigscience/bloom-560m,risk_control_role,18,2,16,0,11.111111,88.888889,0.0,-0.2328559027777778,-0.21484375,0.27483603382617516
arabjobs_v7,bigscience/bloom-560m,supervisory_role,66,33,31,2,50.0,46.969697,3.030303,0.06634706439393939,0.08203125,0.19759779894548574
arabjobs_v7,bigscience/bloom-560m,supply_role,126,126,0,0,100.0,0.0,0.0,0.31039186507936506,0.28515625,0.0949016513868431
arabjobs_v7,bigscience/bloom-560m,support_role,48,20,28,0,41.666667,58.333333,0.0,-0.029947916666666668,-0.078125,0.34639217933167865
arabjobs_v7,bigscience/bloom-560m,teaching_role,2022,95,1927,0,4.698318,95.301682,0.0,-0.32774635262116714,-0.2890625,0.20038191221053614
arabjobs_v7,bigscience/bloom-560m,technical_individual_contributor,6,6,0,0,100.0,0.0,0.0,0.2760416666666667,0.29296875,0.04717784117482133
arabjobs_v7,bigscience/bloom-560m,technical_role,540,540,0,0,100.0,0.0,0.0,0.46663773148148147,0.42578125,0.15916322845953312
arabjobs_v7,bigscience/bloom-560m,training_role,12,12,0,0,100.0,0.0,0.0,0.375,0.392578125,0.10057430082180763
v6_job_roles,aubmindlab/aragpt2-base,administrative_financial_role,24,7,17,0,29.166667,70.833333,0.0,-0.3838537534077962,-0.3160970211029053,0.49051531598890263
v6_job_roles,aubmindlab/aragpt2-base,administrative_role,168,61,107,0,36.309524,63.690476,0.0,-0.3370452892212641,-0.14491796493530268,0.7845478599042718
v6_job_roles,aubmindlab/aragpt2-base,advisory_role,48,17,31,0,35.416667,64.583333,0.0,-0.24139556288719177,-0.26776647567749023,0.5308985327546115
v6_job_roles,aubmindlab/aragpt2-base,analytical_role,192,53,139,0,27.604167,72.395833,0.0,-0.33909782270590466,-0.27016615867614746,0.5912921592502843
v6_job_roles,aubmindlab/aragpt2-base,client_facing_role,96,45,51,0,46.875,53.125,0.0,-0.17303812007109323,-0.047903299331665,0.60544391908046
v6_job_roles,aubmindlab/aragpt2-base,clinical_role,120,36,84,0,30.0,70.0,0.0,-0.3412491242090861,-0.3150749206542969,0.4859192245318868
v6_job_roles,aubmindlab/aragpt2-base,clinical_support_role,48,6,42,0,12.5,87.5,0.0,-0.6081626415252686,-0.6718904972076416,0.5529547490253841
v6_job_roles,aubmindlab/aragpt2-base,commercial_role,24,3,21,0,12.5,87.5,0.0,-0.4895714521408081,-0.4566986560821533,0.40207623607061715
v6_job_roles,aubmindlab/aragpt2-base,communication_role,48,7,41,0,14.583333,85.416667,0.0,-0.5119170447190603,-0.4401204586029053,0.5530971437140502
v6_job_roles,aubmindlab/aragpt2-base,consulting_role,72,32,40,0,44.444444,55.555556,0.0,-0.09986531734466553,-0.1046514511108398,0.374048562805735
v6_job_roles,aubmindlab/aragpt2-base,control_role,48,13,35,0,27.083333,72.916667,0.0,-0.358664333820343,-0.3445134162902832,0.578196022852658
v6_job_roles,aubmindlab/aragpt2-base,coordination_role,48,14,34,0,29.166667,70.833333,0.0,-0.33789002895355225,-0.1505517959594726,0.6435477815937677
v6_job_roles,aubmindlab/aragpt2-base,creative_role,168,78,90,0,46.428571,53.571429,0.0,-0.08510956026258923,-0.038780212402343694,0.6550596360005473
v6_job_roles,aubmindlab/aragpt2-base,design_role,48,32,16,0,66.666667,33.333333,0.0,0.13249881068865457,0.19769906997680659,0.40392170389298093
v6_job_roles,aubmindlab/aragpt2-base,diagnostic_role,48,22,26,0,45.833333,54.166667,0.0,-0.019645392894744873,-0.11122703552246091,0.6138032822483159
v6_job_roles,aubmindlab/aragpt2-base,emergency_role,24,2,22,0,8.333333,91.666667,0.0,-0.7230036457379659,-0.7991657257080078,0.4368259808139952
v6_job_roles,aubmindlab/aragpt2-base,engineering_role,120,15,105,0,12.5,87.5,0.0,-0.4570840279261271,-0.4213376045227051,0.4137884963542073
v6_job_roles,aubmindlab/aragpt2-base,financial_role,120,40,80,0,33.333333,66.666667,0.0,-0.26602667570114136,-0.1872801780700683,0.5941569681814857
v6_job_roles,aubmindlab/aragpt2-base,government_role,24,8,16,0,33.333333,66.666667,0.0,-0.16306191682815552,-0.15891218185424805,0.3673450965276139
v6_job_roles,aubmindlab/aragpt2-base,legal_role,72,32,40,0,44.444444,55.555556,0.0,-0.19499829742643568,-0.07304120063781736,0.6897481924311087
v6_job_roles,aubmindlab/aragpt2-base,managerial_role,360,147,213,0,40.833333,59.166667,0.0,-0.36883169081475997,-0.13455080986022944,0.8286286265156401
v6_job_roles,aubmindlab/aragpt2-base,marketing_role,72,20,52,0,27.777778,72.222222,0.0,-0.2224136922094557,-0.2981908321380615,0.5781556735124828
v6_job_roles,aubmindlab/aragpt2-base,media_role,96,28,68,0,29.166667,70.833333,0.0,-0.4179021368424098,-0.3524293899536133,0.6422446304406398
v6_job_roles,aubmindlab/aragpt2-base,operations_role,24,8,16,0,33.333333,66.666667,0.0,-0.28163768847783405,-0.1536173820495605,0.7306267577900208
v6_job_roles,aubmindlab/aragpt2-base,people_role,120,24,96,0,20.0,80.0,0.0,-0.34028789202372234,-0.24801802635192866,0.4644064075004793
v6_job_roles,aubmindlab/aragpt2-base,planning_role,24,6,18,0,25.0,75.0,0.0,-0.3452821175257365,-0.3334639072418213,0.3959997322641149
v6_job_roles,aubmindlab/aragpt2-base,quality_role,96,33,63,0,34.375,65.625,0.0,-0.3899695873260498,-0.20509123802185056,0.8845890158322206
v6_job_roles,aubmindlab/aragpt2-base,research_role,24,9,15,0,37.5,62.5,0.0,-0.39658578236897785,-0.3354837894439697,0.7505005874638461
v6_job_roles,aubmindlab/aragpt2-base,risk_control_role,120,33,87,0,27.5,72.5,0.0,-0.3004227081934611,-0.2712621688842773,0.47792512266847054
v6_job_roles,aubmindlab/aragpt2-base,supervisory_role,48,21,27,0,43.75,56.25,0.0,-0.09407888849576314,-0.12815022468566895,0.5171878822203753
v6_job_roles,aubmindlab/aragpt2-base,supply_role,24,3,21,0,12.5,87.5,0.0,-0.4844956000645955,-0.43243503570556635,0.3862863471557701
v6_job_roles,aubmindlab/aragpt2-base,support_role,48,16,32,0,33.333333,66.666667,0.0,-0.2914564808209737,-0.27329206466674805,0.4727738373865099
v6_job_roles,aubmindlab/aragpt2-base,teaching_role,72,22,50,0,30.555556,69.444444,0.0,-0.4152112404505412,-0.24357771873474116,0.7175885343563797
v6_job_roles,aubmindlab/aragpt2-base,technical_individual_contributor,72,44,28,0,61.111111,38.888889,0.0,-0.04077242480383979,0.09803318977355954,0.7870970669831147
v6_job_roles,aubmindlab/aragpt2-base,technical_role,24,15,9,0,62.5,37.5,0.0,0.22091195980707803,0.31445884704589844,0.6598419826623154
v6_job_roles,aubmindlab/aragpt2-base,technical_specialist,24,1,23,0,4.166667,95.833333,0.0,-0.80542520682017,-0.6387310028076172,0.5426447581075325
v6_job_roles,aubmindlab/aragpt2-base,training_role,72,17,55,0,23.611111,76.388889,0.0,-0.3851232859823439,-0.4784069061279297,0.7114259043710027
v6_job_roles,aubmindlab/aragpt2-medium,administrative_financial_role,24,5,19,0,20.833333,79.166667,0.0,-0.4501383900642395,-0.4002368450164795,0.44550614091917606
v6_job_roles,aubmindlab/aragpt2-medium,administrative_role,168,75,93,0,44.642857,55.357143,0.0,-0.3379434489068531,-0.13998651504516602,0.9005090158732376
v6_job_roles,aubmindlab/aragpt2-medium,advisory_role,48,18,30,0,37.5,62.5,0.0,-0.32683704296747845,-0.25507068634033203,0.6649802434256309
v6_job_roles,aubmindlab/aragpt2-medium,analytical_role,192,86,106,0,44.791667,55.208333,0.0,-0.00861902286609014,-0.07130336761474604,0.9554407275423245
v6_job_roles,aubmindlab/aragpt2-medium,client_facing_role,96,40,56,0,41.666667,58.333333,0.0,-0.19343604147434235,-0.08175444602966306,0.6764851537777827
v6_job_roles,aubmindlab/aragpt2-medium,clinical_role,120,42,78,0,35.0,65.0,0.0,-0.2346609910329183,-0.19176864624023438,0.4815025573462838
v6_job_roles,aubmindlab/aragpt2-medium,clinical_support_role,48,8,40,0,16.666667,83.333333,0.0,-0.5725180904070536,-0.5614261627197266,0.6117692209562503
v6_job_roles,aubmindlab/aragpt2-medium,commercial_role,24,4,20,0,16.666667,83.333333,0.0,-0.7529717485109965,-0.6539011001586914,0.746451414349051
v6_job_roles,aubmindlab/aragpt2-medium,communication_role,48,12,36,0,25.0,75.0,0.0,-0.5669959684213003,-0.41725659370422363,0.8666354082918135
v6_job_roles,aubmindlab/aragpt2-medium,consulting_role,72,29,43,0,40.277778,59.722222,0.0,-0.22350349691179064,-0.1819696426391601,0.5885335396017434
v6_job_roles,aubmindlab/aragpt2-medium,control_role,48,16,32,0,33.333333,66.666667,0.0,-0.26261357466379803,-0.23277497291564936,0.554975590294993
v6_job_roles,aubmindlab/aragpt2-medium,coordination_role,48,21,27,0,43.75,56.25,0.0,-0.2706899046897888,-0.09380960464477536,0.993275574314443
v6_job_roles,aubmindlab/aragpt2-medium,creative_role,168,75,93,0,44.642857,55.357143,0.0,-0.18574827341806321,-0.10611391067504874,1.0070471255903402
v6_job_roles,aubmindlab/aragpt2-medium,design_role,48,24,24,0,50.0,50.0,0.0,-0.14878750840822855,0.0158405303955078,1.33874857119217
v6_job_roles,aubmindlab/aragpt2-medium,diagnostic_role,48,21,27,0,43.75,56.25,0.0,-0.0017619232336680095,-0.058487892150878906,0.6915704746098568
v6_job_roles,aubmindlab/aragpt2-medium,emergency_role,24,1,23,0,4.166667,95.833333,0.0,-0.8407593766848246,-0.8927719593048096,0.9165646342138944
v6_job_roles,aubmindlab/aragpt2-medium,engineering_role,120,41,79,0,34.166667,65.833333,0.0,-0.16579653024673463,-0.2528493404388427,0.6305605732057451
v6_job_roles,aubmindlab/aragpt2-medium,financial_role,120,44,76,0,36.666667,63.333333,0.0,-0.3913787563641866,-0.2573771476745605,0.8008147227395157
v6_job_roles,aubmindlab/aragpt2-medium,government_role,24,10,14,0,41.666667,58.333333,0.0,-0.15734976530075073,-0.1207165718078613,0.58012535902311
v6_job_roles,aubmindlab/aragpt2-medium,legal_role,72,34,38,0,47.222222,52.777778,0.0,0.011985076798333062,-0.14727878570556635,0.8866181232346949
v6_job_roles,aubmindlab/aragpt2-medium,managerial_role,360,156,204,0,43.333333,56.666667,0.0,-0.3363514688279894,-0.11517524719238276,0.9602764106296263
v6_job_roles,aubmindlab/aragpt2-medium,marketing_role,72,30,42,0,41.666667,58.333333,0.0,-0.12913582060072157,-0.1890034675598144,0.6288059624888059
v6_job_roles,aubmindlab/aragpt2-medium,media_role,96,35,61,0,36.458333,63.541667,0.0,-0.18848280608654022,-0.23076939582824707,0.710917675914013
v6_job_roles,aubmindlab/aragpt2-medium,operations_role,24,9,15,0,37.5,62.5,0.0,-0.3493334452311198,-0.20453882217407227,0.8086880692912594
v6_job_roles,aubmindlab/aragpt2-medium,people_role,120,40,80,0,33.333333,66.666667,0.0,-0.3251542210578918,-0.1994330883026123,0.8812011937222007
v6_job_roles,aubmindlab/aragpt2-medium,planning_role,24,5,19,0,20.833333,79.166667,0.0,-0.6804275314013163,-0.5398528575897217,1.250521457411764
v6_job_roles,aubmindlab/aragpt2-medium,quality_role,96,38,58,0,39.583333,60.416667,0.0,-0.43261026839415234,-0.1360056400299072,1.1184512637281827
v6_job_roles,aubmindlab/aragpt2-medium,research_role,24,7,17,0,29.166667,70.833333,0.0,-0.27885427077611286,-0.25127124786376953,0.5448415260705722
v6_job_roles,aubmindlab/aragpt2-medium,risk_control_role,120,49,71,0,40.833333,59.166667,0.0,-0.2922563870747884,-0.14442801475524894,0.8182938174334884
v6_job_roles,aubmindlab/aragpt2-medium,supervisory_role,48,29,19,0,60.416667,39.583333,0.0,0.2362479865550995,0.16303563117980954,0.8995803136787596
v6_job_roles,aubmindlab/aragpt2-medium,supply_role,24,4,20,0,16.666667,83.333333,0.0,-0.3538520137468974,-0.34887146949768066,0.435922899280198
v6_job_roles,aubmindlab/aragpt2-medium,support_role,48,20,28,0,41.666667,58.333333,0.0,-0.13422940174738565,-0.1565902233123779,0.7125310777255747
v6_job_roles,aubmindlab/aragpt2-medium,teaching_role,72,26,46,0,36.111111,63.888889,0.0,-0.18945381376478407,-0.1689701080322265,0.6910394096799173
v6_job_roles,aubmindlab/aragpt2-medium,technical_individual_contributor,72,33,39,0,45.833333,54.166667,0.0,-0.19978266954421997,-0.06542587280273435,1.0449714397697931
v6_job_roles,aubmindlab/aragpt2-medium,technical_role,24,12,12,0,50.0,50.0,0.0,0.07098015149434407,0.0007638931274413993,0.7783519000929467
v6_job_roles,aubmindlab/aragpt2-medium,technical_specialist,24,8,16,0,33.333333,66.666667,0.0,-0.21588494380315146,-0.4041259288787842,1.0094648938905852
v6_job_roles,aubmindlab/aragpt2-medium,training_role,72,29,43,0,40.277778,59.722222,0.0,0.049669570393032506,-0.22586488723754874,1.1402553293539863
v6_job_roles,bigscience/bloom-1b1,administrative_financial_role,24,19,5,0,79.166667,20.833333,0.0,0.18668619791666666,0.240234375,0.3268360122320414
v6_job_roles,bigscience/bloom-1b1,administrative_role,168,72,96,0,42.857143,57.142857,0.0,-0.04450334821428571,-0.13671875,0.6145437622885374
v6_job_roles,bigscience/bloom-1b1,advisory_role,48,22,25,1,45.833333,52.083333,2.083333,-0.055582682291666664,-0.04296875,0.3410136491476346
v6_job_roles,bigscience/bloom-1b1,analytical_role,192,120,71,1,62.5,36.979167,0.520833,0.056081136067708336,0.158203125,0.5000940453085163
v6_job_roles,bigscience/bloom-1b1,client_facing_role,96,42,54,0,43.75,56.25,0.0,-0.10105387369791667,-0.0771484375,0.4558949730010594
v6_job_roles,bigscience/bloom-1b1,clinical_role,120,41,79,0,34.166667,65.833333,0.0,-0.3155110677083333,-0.244140625,0.5859115067672699
v6_job_roles,bigscience/bloom-1b1,clinical_support_role,48,19,29,0,39.583333,60.416667,0.0,-0.1636962890625,-0.1171875,0.42013832640643306
v6_job_roles,bigscience/bloom-1b1,commercial_role,24,18,6,0,75.0,25.0,0.0,0.09122721354166667,0.1201171875,0.3032850111339133
v6_job_roles,bigscience/bloom-1b1,communication_role,48,24,24,0,50.0,50.0,0.0,-0.012532552083333334,0.015625,0.4952835400562277
v6_job_roles,bigscience/bloom-1b1,consulting_role,72,39,33,0,54.166667,45.833333,0.0,0.1527777777777778,0.14453125,0.5199578979060643
v6_job_roles,bigscience/bloom-1b1,control_role,48,34,14,0,70.833333,29.166667,0.0,0.18961588541666666,0.306640625,0.5457988071142494
v6_job_roles,bigscience/bloom-1b1,coordination_role,48,32,16,0,66.666667,33.333333,0.0,0.17769368489583334,0.189453125,0.4032185964238652
v6_job_roles,bigscience/bloom-1b1,creative_role,168,68,100,0,40.47619,59.52381,0.0,-0.15704055059523808,-0.103515625,0.46906309901157267
v6_job_roles,bigscience/bloom-1b1,design_role,48,11,37,0,22.916667,77.083333,0.0,-0.3089599609375,-0.162109375,0.45597936129916156
v6_job_roles,bigscience/bloom-1b1,diagnostic_role,48,36,12,0,75.0,25.0,0.0,0.121337890625,0.21875,0.5133549928975136
v6_job_roles,bigscience/bloom-1b1,emergency_role,24,13,11,0,54.166667,45.833333,0.0,-0.06404622395833333,0.060546875,0.4124334185261953
v6_job_roles,bigscience/bloom-1b1,engineering_role,120,5,114,1,4.166667,95.0,0.833333,-0.516845703125,-0.412109375,0.44094383907712476
v6_job_roles,bigscience/bloom-1b1,financial_role,120,66,54,0,55.0,45.0,0.0,0.03681640625,0.103515625,0.47874073912412446
v6_job_roles,bigscience/bloom-1b1,government_role,24,12,12,0,50.0,50.0,0.0,0.037434895833333336,0.009765625,0.33932294056288637
v6_job_roles,bigscience/bloom-1b1,legal_role,72,33,38,1,45.833333,52.777778,1.388889,-0.08846028645833333,-0.021484375,0.4538281151382196
v6_job_roles,bigscience/bloom-1b1,managerial_role,360,109,250,1,30.277778,69.444444,0.277778,-0.18827582465277778,-0.208984375,0.44084468526873744
v6_job_roles,bigscience/bloom-1b1,marketing_role,72,57,15,0,79.166667,20.833333,0.0,0.13037109375,0.177734375,0.3443216998788613
v6_job_roles,bigscience/bloom-1b1,media_role,96,41,55,0,42.708333,57.291667,0.0,-0.11592610677083333,-0.087890625,0.4702390325797178
v6_job_roles,bigscience/bloom-1b1,operations_role,24,7,17,0,29.166667,70.833333,0.0,-0.14078776041666666,-0.34765625,0.6011062807714437
v6_job_roles,bigscience/bloom-1b1,people_role,120,69,51,0,57.5,42.5,0.0,0.02216796875,0.091796875,0.42190065564131973
v6_job_roles,bigscience/bloom-1b1,planning_role,24,3,21,0,12.5,87.5,0.0,-0.24788411458333334,-0.240234375,0.25987568710422143
v6_job_roles,bigscience/bloom-1b1,quality_role,96,55,41,0,57.291667,42.708333,0.0,0.030558268229166668,0.14453125,0.547134570327339
v6_job_roles,bigscience/bloom-1b1,research_role,24,6,18,0,25.0,75.0,0.0,-0.41064453125,-0.36328125,0.5259654044152395
v6_job_roles,bigscience/bloom-1b1,risk_control_role,120,63,57,0,52.5,47.5,0.0,-0.053125,0.0703125,0.5182234029048133
v6_job_roles,bigscience/bloom-1b1,supervisory_role,48,15,33,0,31.25,68.75,0.0,-0.1920166015625,-0.169921875,0.39962418052097765
v6_job_roles,bigscience/bloom-1b1,supply_role,24,18,6,0,75.0,25.0,0.0,0.16080729166666666,0.19921875,0.33816547564698834
v6_job_roles,bigscience/bloom-1b1,support_role,48,23,25,0,47.916667,52.083333,0.0,-0.13224283854166666,-0.095703125,0.6141653233978028
