dataset_source,model_name,seniority_level,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
arabjobs_v7,aubmindlab/aragpt2-base,junior,3558,1478,2080,0,41.540191,58.459809,0.0,0.06763363487603893,-0.0365376472473144,0.33311556206844284
arabjobs_v7,aubmindlab/aragpt2-base,manager,1494,1299,195,0,86.947791,13.052209,0.0,0.404958779553333,0.44530749320983887,0.2974737097388444
arabjobs_v7,aubmindlab/aragpt2-base,mid,7998,4850,3148,0,60.64016,39.35984,0.0,0.05469321167209679,0.0804920196533203,0.3669541084505353
arabjobs_v7,aubmindlab/aragpt2-base,senior,1482,777,705,0,52.42915,47.57085,0.0,0.01147149481110567,0.0240478515625,0.40090560221275245
arabjobs_v7,bigscience/bloom-560m,junior,3558,3552,5,1,99.831366,0.140528,0.028106,0.4897996153035413,0.44140625,0.24741867921627073
arabjobs_v7,bigscience/bloom-560m,manager,1494,509,975,10,34.069612,65.261044,0.669344,-0.11121438880522089,-0.03515625,0.293208381559051
arabjobs_v7,bigscience/bloom-560m,mid,7998,3969,4025,4,49.624906,50.325081,0.050013,0.021707819533008252,-0.00390625,0.3250769938917342
arabjobs_v7,bigscience/bloom-560m,senior,1482,433,989,60,29.217274,66.734143,4.048583,-0.112549816548583,-0.1171875,0.2848046356396231
v6_job_roles,aubmindlab/aragpt2-base,junior,480,193,287,0,40.208333,59.791667,0.0,-0.22336095372835796,-0.10290598869323725,0.6749438050585761
v6_job_roles,aubmindlab/aragpt2-base,manager,480,207,273,0,43.125,56.875,0.0,-0.32022856424252194,-0.11971449851989745,0.8032981498394834
v6_job_roles,aubmindlab/aragpt2-base,mid,1320,386,934,0,29.242424,70.757576,0.0,-0.3171606649052013,-0.2684977054595947,0.6342144457437059
v6_job_roles,aubmindlab/aragpt2-base,senior,600,184,416,0,30.666667,69.333333,0.0,-0.3168915033340454,-0.2774930000305176,0.5205874467584477
v6_job_roles,aubmindlab/aragpt2-medium,junior,480,193,287,0,40.208333,59.791667,0.0,-0.2893292158842087,-0.2038354873657226,0.8477851160035418
v6_job_roles,aubmindlab/aragpt2-medium,manager,480,221,259,0,46.041667,53.958333,0.0,-0.2489501267671585,-0.0642590522766113,0.9536756692347945
v6_job_roles,aubmindlab/aragpt2-medium,mid,1320,495,825,0,37.5,62.5,0.0,-0.25309528076287474,-0.2106242179870605,0.9056610253466019
v6_job_roles,aubmindlab/aragpt2-medium,senior,600,227,373,0,37.833333,62.166667,0.0,-0.18176862080891928,-0.20020151138305659,0.734734616427688
v6_job_roles,bigscience/bloom-1b1,junior,480,262,218,0,54.583333,45.416667,0.0,0.0012410481770833333,0.0712890625,0.5198951946712279
v6_job_roles,bigscience/bloom-1b1,manager,480,147,332,1,30.625,69.166667,0.208333,-0.1839599609375,-0.205078125,0.43444746945575113
v6_job_roles,bigscience/bloom-1b1,mid,1320,703,614,3,53.257576,46.515152,0.227273,-0.03208451704545454,0.046875,0.49743393279747794
v6_job_roles,bigscience/bloom-1b1,senior,600,216,383,1,36.0,63.833333,0.166667,-0.17119466145833334,-0.15234375,0.5242305992066063
v6_job_roles,bigscience/bloom-560m,junior,480,272,207,1,56.666667,43.125,0.208333,0.03441569010416667,0.078125,0.5086581682454198
v6_job_roles,bigscience/bloom-560m,manager,480,186,294,0,38.75,61.25,0.0,-0.095556640625,-0.185546875,0.5084903351124481
v6_job_roles,bigscience/bloom-560m,mid,1320,782,536,2,59.242424,40.606061,0.151515,0.02695608428030303,0.11328125,0.5033475437826772
v6_job_roles,bigscience/bloom-560m,senior,600,260,338,2,43.333333,56.333333,0.333333,-0.088798828125,-0.107421875,0.5263366219585143
