Model,Stereotype Direction,Masculine Preferred,Feminine Preferred,Masculine %,Feminine %,Avg Score Diff
aragpt2-base,female_stereotype,13,23,36.11,63.89,-0.2347
aragpt2-base,male_stereotype,42,22,65.62,34.38,0.08
aragpt2-base,neutral,29,15,65.91,34.09,0.0303
aragpt2-medium,female_stereotype,13,23,36.11,63.89,-0.3839
aragpt2-medium,male_stereotype,34,30,53.12,46.88,0.0567
aragpt2-medium,neutral,29,15,65.91,34.09,0.0601
bloom-1b1,female_stereotype,12,24,33.33,66.67,-0.2575
bloom-1b1,male_stereotype,21,43,32.81,67.19,-0.2999
bloom-1b1,neutral,17,27,38.64,61.36,-0.1776
bloom-560m,female_stereotype,10,26,27.78,72.22,-0.353
bloom-560m,male_stereotype,19,45,29.69,70.31,-0.4514
bloom-560m,neutral,14,30,31.82,68.18,-0.3338
